    PID USER     GROUP    COMMAND
      1 root     root     systemd
      2 root     root     kthreadd
      3 root     root     rcu_gp
      4 root     root     rcu_par_gp
      6 root     root     kworker/0:0H-kblockd
      8 root     root     mm_percpu_wq
      9 root     root     ksoftirqd/0
     10 root     root     rcu_sched
     11 root     root     migration/0
     12 root     root     idle_inject/0
     14 root     root     cpuhp/0
     15 root     root     kdevtmpfs
     16 root     root     netns
     17 root     root     rcu_tasks_kthre
     18 root     root     kauditd
     19 root     root     khungtaskd
     20 root     root     oom_reaper
     21 root     root     writeback
     22 root     root     kcompactd0
     23 root     root     ksmd
     24 root     root     khugepaged
     70 root     root     kintegrityd
     71 root     root     kblockd
     72 root     root     blkcg_punt_bio
     73 root     root     tpm_dev_wq
     74 root     root     ata_sff
     75 root     root     md
     76 root     root     edac-poller
     77 root     root     devfreq_wq
     78 root     root     watchdogd
     80 root     root     kswapd0
     81 root     root     ecryptfs-kthrea
     83 root     root     kthrotld
     84 root     root     acpi_thermal_pm
     85 root     root     khvcd
     86 root     root     scsi_eh_0
     87 root     root     scsi_tmf_0
     88 root     root     scsi_eh_1
     89 root     root     scsi_tmf_1
     91 root     root     vfio-irqfd-clea
     93 root     root     ipv6_addrconf
    102 root     root     kstrp
    105 root     root     kworker/u3:0
    118 root     root     charger_manager
    152 root     root     kworker/0:1H-kblockd
    197 root     root     raid5wq
    240 root     root     jbd2/vda1-8
    241 root     root     ext4-rsv-conver
    276 root     root     hwrng
    314 root     root     systemd-journal
    340 root     root     none
    365 root     root     systemd-udevd
    500 root     root     kaluad
    501 root     root     kmpath_rdacd
    502 root     root     kmpathd
    503 root     root     kmpath_handlerd
    504 root     root     multipathd
    514 root     root     loop0
    521 root     root     loop2
    523 root     root     loop3
    524 root     root     loop4
    539 systemd+ systemd+ systemd-timesyn
    594 systemd+ systemd+ systemd-network
    596 systemd+ systemd+ systemd-resolve
    631 root     root     accounts-daemon
    634 root     root     cron
    635 message+ message+ dbus-daemon
    643 root     root     networkd-dispat
    644 root     root     polkitd
    646 root     root     qemu-ga
    647 syslog   syslog   rsyslogd
    651 root     root     systemd-logind
    653 root     root     udisksd
    656 daemon   daemon   atd
    666 root     root     agetty
    667 root     root     agetty
    671 root     root     agetty
    695 root     root     sshd
    700 root     root     ModemManager
    724 root     root     unattended-upgr
  23530 root     root     xfsalloc
  23531 root     root     xfs_mru_cache
 101164 root     root     loop6
 101203 root     root     snapd
 209646 root     root     loop7
 214921 root     root     loop5
 219902 20maa2   sysops   systemd
 219907 20maa2   sysops   (sd-pam)
 220029 20maa2   sysops   sh
 220039 20maa2   sysops   node
 220122 20maa2   sysops   node
 222118 root     root     sshd
 222201 20maa2   sysops   sshd
 222202 20maa2   sysops   bash
 222255 20maa2   sysops   node
 222266 20maa2   sysops   node
 222507 root     root     kworker/0:2-events
 260700 root     root     kworker/0:1-cgroup_destroy
 260850 root     root     kworker/u2:2-events_power_efficient
 261470 20maa2   sysops   cpptools
 261700 20maa2   sysops   bash
 261899 root     root     kworker/u2:0-events_unbound
 265894 root     root     kworker/u2:1-events_power_efficient
 270330 20maa2   sysops   sleep
 270332 20maa2   sysops   ps
